id,from_id,date
12772,74029482,10.04.2021
12773,74029482,10.04.2021
12768,112123934,10.04.2021
12771,26998142,10.04.2021
12757,74029482,09.04.2021
12753,462923886,09.04.2021
12760,31577787,09.04.2021
12765,28800064,09.04.2021
12743,160456277,09.04.2021
12744,143283753,09.04.2021
12745,235640194,09.04.2021
12747,306343095,09.04.2021
12767,233684825,10.04.2021
12751,90264541,09.04.2021
12759,306621763,09.04.2021
12719,170940872,08.04.2021
12720,43945485,08.04.2021
12737,99949353,09.04.2021
12736,4065393,09.04.2021
12717,560667001,08.04.2021
12726,602211895,08.04.2021
12727,4620923,08.04.2021
12669,557977779,07.04.2021
12670,281986614,07.04.2021
12674,621055610,07.04.2021
12680,95316670,07.04.2021
12682,603371016,07.04.2021
12685,266480980,07.04.2021
12686,39371033,07.04.2021
12688,168217334,07.04.2021
12692,312396012,07.04.2021
12694,606417601,07.04.2021
12709,525239537,08.04.2021
12734,22714411,09.04.2021
12735,118007776,09.04.2021
12742,497042856,09.04.2021
12699,31577787,08.04.2021
12700,37805926,08.04.2021
12652,51250692,06.04.2021
12654,569824384,06.04.2021
12649,585540420,06.04.2021
12658,99202802,06.04.2021
12697,17646201,08.04.2021
12623,171797458,05.04.2021
12627,602211895,05.04.2021
12636,101840400,06.04.2021
12593,3337138,05.04.2021
12596,268192504,05.04.2021
12605,595275107,05.04.2021
12606,116675527,05.04.2021
12611,403237938,05.04.2021
12638,440921033,06.04.2021
12640,12599049,06.04.2021
12629,639297730,05.04.2021
12580,346986559,05.04.2021
12702,178540075,08.04.2021
12554,45739025,04.04.2021
12555,373594593,04.04.2021
12556,70115226,04.04.2021
12557,34855343,04.04.2021
12560,9292269,04.04.2021
12561,451200403,04.04.2021
12562,303081345,04.04.2021
12564,97126170,04.04.2021
12565,99649736,04.04.2021
12569,395886397,04.04.2021
12575,3833401,05.04.2021
12589,382784075,05.04.2021
12635,106393151,06.04.2021
12703,178540075,08.04.2021
12546,43852058,04.04.2021
12547,284279466,04.04.2021
12548,11817496,04.04.2021
12551,21497656,04.04.2021
12552,258731904,04.04.2021
12570,4065393,04.04.2021
12576,100421020,05.04.2021
12626,42925827,05.04.2021
12705,178540075,08.04.2021
12516,584804653,03.04.2021
12517,292722490,03.04.2021
12520,442480138,03.04.2021
12528,949605,03.04.2021
12542,188223182,04.04.2021
12550,4481696,04.04.2021
12506,43852058,03.04.2021
12508,218200877,03.04.2021
12514,50946388,03.04.2021
12704,178540075,08.04.2021
12502,144520700,03.04.2021
12519,560667001,03.04.2021
12541,602211895,04.04.2021
12545,144666225,04.04.2021
12457,7720442,02.04.2021
12458,33387189,02.04.2021
12459,218200877,02.04.2021
12461,235640194,02.04.2021
12463,260173107,02.04.2021
12494,43945485,03.04.2021
12495,46560493,03.04.2021
12535,318474530,03.04.2021
12424,95545670,02.04.2021
12426,14669187,02.04.2021
12427,20528977,02.04.2021
12428,-158522547,02.04.2021
12429,169564175,02.04.2021
12430,7103025,02.04.2021
12432,638465727,02.04.2021
12433,571939512,02.04.2021
12434,445196670,02.04.2021
12437,257866385,02.04.2021
12449,174998049,02.04.2021
12451,111593451,02.04.2021
12452,99949353,02.04.2021
12454,152845984,02.04.2021
12473,625121816,02.04.2021
12485,152962579,02.04.2021
12490,9068175,03.04.2021
12491,9068175,03.04.2021
12512,31093191,03.04.2021
12536,377918977,03.04.2021
12537,628697308,03.04.2021
12597,407554684,05.04.2021
12666,577259299,07.04.2021
12543,17433015,04.04.2021
12422,331064425,02.04.2021
12450,271172890,02.04.2021
12527,44707884,03.04.2021
12412,184656579,01.04.2021
12414,318871424,01.04.2021
12417,143283753,01.04.2021
12396,325410347,31.03.2021
12398,373970494,31.03.2021
12390,7509137,31.03.2021
12387,135636205,30.03.2021
12407,677776,31.03.2021
12380,14369395,30.03.2021
12384,254396376,30.03.2021
12353,1674846,29.03.2021
12369,76748229,29.03.2021
12346,5505408,29.03.2021
12348,466632717,29.03.2021
12351,43945485,29.03.2021
12357,7509137,29.03.2021
12330,158997000,28.03.2021
12331,63332857,28.03.2021
12336,2107043,28.03.2021
12328,7722928,28.03.2021
12335,613863484,28.03.2021
12298,445422,27.03.2021
12299,484002030,27.03.2021
12321,472913958,27.03.2021
12342,62795916,28.03.2021
12382,697477,30.03.2021
12263,147446351,26.03.2021
12264,43945485,26.03.2021
12272,12140378,26.03.2021
12273,327848304,26.03.2021
12290,147446351,27.03.2021
12208,7801315,26.03.2021
12214,16759075,26.03.2021
12232,599977148,26.03.2021
12256,199649447,26.03.2021
12259,253017066,26.03.2021
12261,345222480,26.03.2021
12295,628523710,27.03.2021
12189,68316260,26.03.2021
12192,363814152,26.03.2021
12314,174261333,27.03.2021
12317,140031756,27.03.2021
12326,10736164,28.03.2021
12333,25771221,28.03.2021
12334,25771221,28.03.2021
12378,81714262,30.03.2021
12148,209057237,25.03.2021
12149,260173107,25.03.2021
12155,84182528,25.03.2021
12286,137627983,27.03.2021
12371,450330508,29.03.2021
12145,7509137,25.03.2021
12119,253676618,25.03.2021
12121,12140378,25.03.2021
12122,62744031,25.03.2021
12125,9906243,25.03.2021
12126,100421020,25.03.2021
12128,6687012,25.03.2021
12157,1118842,25.03.2021
12307,244247962,27.03.2021
12051,446422071,24.03.2021
12052,108773896,24.03.2021
12054,140827317,24.03.2021
12056,183359177,24.03.2021
12057,158707448,24.03.2021
12061,14072208,24.03.2021
12063,403484826,24.03.2021
12064,469621120,24.03.2021
12065,107714014,24.03.2021
12066,43852058,24.03.2021
12067,414631220,24.03.2021
12068,575209382,24.03.2021
12072,369825471,24.03.2021
12074,532349544,24.03.2021
12076,431239878,24.03.2021
12079,246820612,24.03.2021
12081,205469260,24.03.2021
12083,604081275,24.03.2021
12085,146969528,24.03.2021
12086,325410347,24.03.2021
12088,7103025,24.03.2021
12090,195967565,24.03.2021
12097,7509137,24.03.2021
12099,2073475,24.03.2021
12104,621055610,24.03.2021
12105,620851120,24.03.2021
12106,2744383,24.03.2021
12108,113342977,25.03.2021
12109,442278989,25.03.2021
12114,66303694,25.03.2021
12136,2465897,25.03.2021
12152,6015592,25.03.2021
12156,346975781,25.03.2021
12158,1118842,25.03.2021
12168,3567925,25.03.2021
12169,312775484,25.03.2021
12171,229926408,26.03.2021
12172,573685283,26.03.2021
12182,898685,26.03.2021
12185,328153172,26.03.2021
12300,609316368,27.03.2021
12301,609316368,27.03.2021
12303,169110648,27.03.2021
12361,370252801,29.03.2021
12362,51903506,29.03.2021
12486,246820612,02.04.2021
12045,6160078,24.03.2021
12046,74029482,24.03.2021
12047,2929234,24.03.2021
12049,136833381,24.03.2021
12080,90818754,24.03.2021
12043,571989435,24.03.2021
12048,326726083,24.03.2021
12025,243318852,23.03.2021
12028,184656579,23.03.2021
11984,191503186,22.03.2021
11985,40714396,22.03.2021
11987,324734782,22.03.2021
11988,13871388,22.03.2021
11989,18260780,22.03.2021
11991,80849466,22.03.2021
11992,50471677,22.03.2021
11993,407484324,22.03.2021
11996,331064425,22.03.2021
11999,484002030,22.03.2021
12001,614695783,22.03.2021
12002,6687012,22.03.2021
12006,31577787,22.03.2021
12016,270540884,23.03.2021
12017,269485028,23.03.2021
12018,92481260,23.03.2021
12019,92481260,23.03.2021
12033,1293741,23.03.2021
12040,152276911,24.03.2021
12041,420448709,24.03.2021
11961,97126170,22.03.2021
11965,352047330,22.03.2021
11968,497425094,22.03.2021
11972,373970494,22.03.2021
11982,380167090,22.03.2021
12005,155849279,22.03.2021
12011,226163909,22.03.2021
12012,435738934,22.03.2021
12026,2287843,23.03.2021
12032,1921437,23.03.2021
12039,25321228,24.03.2021
11949,73828320,21.03.2021
11950,62744031,21.03.2021
11951,170940872,21.03.2021
11946,133545772,21.03.2021
11926,521569094,20.03.2021
11929,347374060,20.03.2021
11937,587777827,21.03.2021
11947,5557085,21.03.2021
11908,168487181,19.03.2021
11909,6687012,19.03.2021
11913,457332329,19.03.2021
11914,457332329,19.03.2021
11915,28790209,19.03.2021
11930,21497656,20.03.2021
11901,331064425,19.03.2021
11904,406651086,19.03.2021
11918,324734782,19.03.2021
11924,12599049,20.03.2021
12013,262866972,23.03.2021
11895,1118842,19.03.2021
11896,1118842,19.03.2021
11900,124009953,19.03.2021
11945,490519312,21.03.2021
11874,243318852,18.03.2021
11876,618118881,18.03.2021
11877,618118881,18.03.2021
11856,7111965,18.03.2021
11857,7720442,18.03.2021
11861,2975510,18.03.2021
11864,62744031,18.03.2021
11880,622681623,18.03.2021
11891,635478674,19.03.2021
11834,112123934,17.03.2021
11835,318474530,17.03.2021
11893,487165397,19.03.2021
11898,564748498,19.03.2021
11827,296754550,17.03.2021
11828,697477,17.03.2021
11829,2613109,17.03.2021
11831,10600328,17.03.2021
11836,108832239,17.03.2021
11842,593877500,17.03.2021
11928,565072936,20.03.2021
12684,26998142,07.04.2021
11810,74029482,16.03.2021
11811,39371033,16.03.2021
11814,602211895,16.03.2021
11815,184656579,16.03.2021
11817,23369411,16.03.2021
11823,191503186,16.03.2021
11830,147036533,17.03.2021
11800,181019684,16.03.2021
11802,11817496,16.03.2021
11812,51964887,16.03.2021
11825,617606708,17.03.2021
11796,143868161,15.03.2021
11784,100441699,15.03.2021
11785,44335,15.03.2021
11791,561734679,15.03.2021
11824,22588561,16.03.2021
11792,697477,15.03.2021
11797,26998142,15.03.2021
11763,272097491,14.03.2021
11765,174261333,14.03.2021
11766,322507185,14.03.2021
11767,491488890,14.03.2021
11768,5229237,14.03.2021
11770,8915310,14.03.2021
11775,7801315,14.03.2021
11776,152276911,14.03.2021
11777,469293987,14.03.2021
11794,307701427,15.03.2021
11741,170940872,13.03.2021
11746,2441260,13.03.2021
11750,11817496,13.03.2021
11736,584804653,13.03.2021
11743,39371033,13.03.2021
11769,252084216,14.03.2021
11795,96322366,15.03.2021
11713,10267344,12.03.2021
11714,205469260,12.03.2021
11718,99949353,12.03.2021
11725,552753594,12.03.2021
11727,406651086,12.03.2021
11703,18132491,12.03.2021
11705,19469415,12.03.2021
11707,321701733,12.03.2021
11676,503046636,11.03.2021
11678,170809620,11.03.2021
11680,21497656,11.03.2021
11689,43945485,11.03.2021
11690,43945485,11.03.2021
11695,99649736,11.03.2021
11700,43852058,12.03.2021
11677,21497656,11.03.2021
11709,5472158,12.03.2021
11650,1401140,10.03.2021
11657,51250692,10.03.2021
11663,62744031,10.03.2021
11669,39371033,11.03.2021
11674,56006951,11.03.2021
11738,414226800,13.03.2021
11745,5348229,13.03.2021
11567,442480138,10.03.2021
11569,152962579,10.03.2021
11596,3776988,10.03.2021
11610,575209382,10.03.2021
11698,507417294,11.03.2021
11533,170940872,10.03.2021
11535,56530919,10.03.2021
11522,100441699,10.03.2021
11523,104370637,10.03.2021
11512,26998142,09.03.2021
11656,100638294,10.03.2021
11670,549200076,11.03.2021
11470,11853132,08.03.2021
11473,218200877,08.03.2021
11478,434747955,08.03.2021
11449,43945485,08.03.2021
11433,51250692,07.03.2021
11445,12140378,08.03.2021
11495,140546038,09.03.2021
11431,325306266,07.03.2021
11440,1520778,07.03.2021
11402,184656579,06.03.2021
11403,218200877,06.03.2021
11421,578477094,06.03.2021
11422,406900936,06.03.2021
11442,28681618,07.03.2021
11446,523776269,08.03.2021
11427,296061095,07.03.2021
11355,169564175,05.03.2021
11393,18095144,06.03.2021
11396,9068175,06.03.2021
11413,12128143,06.03.2021
11418,135744495,06.03.2021
11430,641773744,07.03.2021
11337,184656579,05.03.2021
11347,6687012,05.03.2021
11397,276615685,06.03.2021
11394,70115226,06.03.2021
11300,165216661,04.03.2021
11303,74029482,04.03.2021
11306,115947066,04.03.2021
11308,498249879,04.03.2021
11314,11817496,04.03.2021
11398,504712402,06.03.2021
11277,99949353,04.03.2021
11278,43945485,04.03.2021
11279,256790683,04.03.2021
11280,11701312,04.03.2021
11283,11817496,04.03.2021
11286,347366449,04.03.2021
11287,5382540,04.03.2021
11288,30000888,04.03.2021
11289,610615653,04.03.2021
11291,174261333,04.03.2021
11292,139490163,04.03.2021
11313,313206858,04.03.2021
11318,602211895,04.03.2021
11319,221391088,04.03.2021
11330,32975485,05.03.2021
11336,48519769,05.03.2021
11380,550316227,05.03.2021
11400,116514519,06.03.2021
11409,291932469,06.03.2021
11443,12797385,08.03.2021
11701,506559685,12.03.2021
11254,97119471,03.03.2021
11255,218200877,03.03.2021
11260,7986840,03.03.2021
11264,499174,03.03.2021
11267,36113426,03.03.2021
11268,168947510,03.03.2021
11234,159332187,03.03.2021
11252,100638294,03.03.2021
11217,327848304,02.03.2021
11220,41151341,02.03.2021
11224,142770,02.03.2021
11225,5557085,02.03.2021
11232,98858846,03.03.2021
11266,9686065,03.03.2021
11388,81449218,05.03.2021
11181,6593694,01.03.2021
11183,171797458,01.03.2021
11184,172228973,01.03.2021
11186,70115226,01.03.2021
11189,199649447,01.03.2021
11190,303050172,01.03.2021
11197,11817496,01.03.2021
11200,483890283,01.03.2021
11206,462011319,02.03.2021
11223,1133398,02.03.2021
11199,95482342,01.03.2021
11141,5396765,01.03.2021
11210,170940872,02.03.2021
11133,147907296,28.02.2021
11136,438436875,01.03.2021
11156,129476603,01.03.2021
11179,9855730,01.03.2021
11118,198946111,28.02.2021
11120,300610930,28.02.2021
11124,146080451,28.02.2021
11127,634840188,28.02.2021
11130,613935652,28.02.2021
11104,171797458,27.02.2021
11067,184736069,26.02.2021
11071,2017255,26.02.2021
11055,172228973,26.02.2021
11056,347028127,26.02.2021
11060,514220090,26.02.2021
11061,2329393,26.02.2021
11064,231294237,26.02.2021
11068,72779766,26.02.2021
11074,178291433,26.02.2021
11099,2017255,27.02.2021
11102,198946111,27.02.2021
11107,232444433,27.02.2021
11116,212590037,28.02.2021
11139,1118842,01.03.2021
11140,620311405,01.03.2021
11050,239221,26.02.2021
11070,488042053,26.02.2021
11202,501550046,01.03.2021
11029,319578627,25.02.2021
11005,56530919,25.02.2021
10967,1693910,24.02.2021
10968,12345445,24.02.2021
10970,36113426,24.02.2021
10975,347552017,24.02.2021
10981,27456057,24.02.2021
10999,13171399,24.02.2021
11002,374029412,25.02.2021
11003,609298967,25.02.2021
11027,301987402,25.02.2021
11040,505426325,25.02.2021
11044,32975485,26.02.2021
11046,8461846,26.02.2021
10976,62744031,24.02.2021
11039,12599049,25.02.2021
10959,260173107,24.02.2021
10960,618118881,24.02.2021
11016,1801656,25.02.2021
10935,23054110,23.02.2021
10924,224887298,23.02.2021
10925,18095144,23.02.2021
10927,584804653,23.02.2021
10932,171797458,23.02.2021
10933,296941655,23.02.2021
10940,90264541,23.02.2021
10942,43945485,23.02.2021
11043,468225618,25.02.2021
10917,7722928,22.02.2021
10941,418944880,23.02.2021
10910,20554946,22.02.2021
10916,1520778,22.02.2021
10948,273080960,23.02.2021
10949,978532,24.02.2021
10950,13591962,24.02.2021
11100,33720840,27.02.2021
10900,222633925,21.02.2021
10899,279438810,21.02.2021
10902,43945485,21.02.2021
10919,244247962,22.02.2021
10908,224887298,22.02.2021
10918,273080960,22.02.2021
10861,599899284,20.02.2021
10862,43852058,20.02.2021
10864,490066163,20.02.2021
10865,467911133,20.02.2021
10866,352047330,20.02.2021
10867,573835673,20.02.2021
10868,6313146,20.02.2021
10869,444901481,20.02.2021
10871,618118881,20.02.2021
10872,25321228,20.02.2021
10879,531131324,20.02.2021
10882,318217049,20.02.2021
10887,56006951,20.02.2021
10889,154783555,20.02.2021
10905,224887298,21.02.2021
10922,697477,23.02.2021
10854,243318852,20.02.2021
10855,570532774,20.02.2021
10858,33170588,20.02.2021
10863,158962567,20.02.2021
10906,380653522,22.02.2021
10907,180287046,22.02.2021
10825,43852058,19.02.2021
10826,172228973,19.02.2021
10827,4677407,19.02.2021
10831,153245420,19.02.2021
10833,171797458,19.02.2021
10838,88174639,19.02.2021
10890,419383303,21.02.2021
11132,306621763,28.02.2021
10818,697477,19.02.2021
10819,2465897,19.02.2021
10822,159293322,19.02.2021
10859,84225205,20.02.2021
10912,24611717,22.02.2021
10810,1674846,19.02.2021
10814,552161655,19.02.2021
10815,168947510,19.02.2021
10816,621055610,19.02.2021
10897,571767036,21.02.2021
10808,291463068,19.02.2021
10856,52375900,20.02.2021
10755,868418,17.02.2021
10756,599700338,17.02.2021
10762,452841238,17.02.2021
10764,5557085,17.02.2021
10767,481365751,17.02.2021
10770,573835673,17.02.2021
10782,168947510,17.02.2021
10786,7942900,17.02.2021
10789,6593694,17.02.2021
10798,19121077,18.02.2021
10802,6845531,18.02.2021
10753,2053171,17.02.2021
10806,4693676,18.02.2021
10803,576805152,18.02.2021
10713,432828422,16.02.2021
10717,43852058,16.02.2021
10719,170809620,16.02.2021
10722,15927588,16.02.2021
10723,185324902,16.02.2021
10730,483218601,16.02.2021
10765,220119387,17.02.2021
10702,272097491,16.02.2021
10703,272097491,16.02.2021
10706,170940872,16.02.2021
10744,184669771,17.02.2021
10751,260173107,17.02.2021
10964,170940872,24.02.2021
10685,419920139,15.02.2021
10691,31270775,15.02.2021
10695,300018241,15.02.2021
10733,577744271,16.02.2021
10676,21497656,15.02.2021
10731,14620459,16.02.2021
10668,12140378,14.02.2021
10669,100441699,14.02.2021
10657,303081345,13.02.2021
10649,384190393,13.02.2021
10653,146407998,13.02.2021
10640,47903439,13.02.2021
10641,74029482,13.02.2021
10642,602211895,13.02.2021
10643,5352957,13.02.2021
10644,10239986,13.02.2021
10656,218148081,13.02.2021
10670,13391763,14.02.2021
10618,6687012,12.02.2021
10619,34401286,12.02.2021
10621,271785606,12.02.2021
10625,868418,12.02.2021
10628,283757310,12.02.2021
10629,4299925,12.02.2021
10630,174998049,12.02.2021
10636,331064425,13.02.2021
10638,84225205,13.02.2021
10659,168237039,13.02.2021
10607,619181089,12.02.2021
10608,568361892,12.02.2021
10613,170940872,12.02.2021
10615,133545772,12.02.2021
10631,90264541,12.02.2021
10635,337791991,13.02.2021
10645,11701312,13.02.2021
10646,12140378,13.02.2021
10595,11817496,12.02.2021
10596,29030034,12.02.2021
10597,502825137,12.02.2021
10599,352047330,12.02.2021
10600,13958075,12.02.2021
10601,20554946,12.02.2021
10606,340261911,12.02.2021
10650,4677407,13.02.2021
10590,9686065,11.02.2021
10584,172449692,11.02.2021
10675,533623260,15.02.2021
10732,271586734,16.02.2021
10557,584804653,10.02.2021
10558,224098197,10.02.2021
10560,44559528,10.02.2021
10561,552753594,10.02.2021
10563,285751040,10.02.2021
10564,90818754,10.02.2021
10565,575457723,10.02.2021
10572,233684825,10.02.2021
10587,292749972,11.02.2021
10549,141204451,10.02.2021
10550,584804653,10.02.2021
10551,43945485,10.02.2021
10574,90264541,10.02.2021
10526,74029482,09.02.2021
10527,74029482,09.02.2021
10537,38862565,09.02.2021
10542,519708903,09.02.2021
10513,106346720,08.02.2021
10518,868418,08.02.2021
10541,147486944,09.02.2021
10546,66303694,09.02.2021
11079,277176196,26.02.2021
10507,109727766,08.02.2021
10510,525837908,08.02.2021
10543,519708903,09.02.2021
10494,112123934,07.02.2021
10495,270369719,07.02.2021
10498,601543119,07.02.2021
10499,36113426,07.02.2021
10500,39371033,07.02.2021
10501,263645350,07.02.2021
10502,127770573,07.02.2021
10472,438994354,06.02.2021
10475,307322823,06.02.2021
10476,2975510,06.02.2021
10481,519843593,06.02.2021
10522,422281135,08.02.2021
10430,525239537,05.02.2021
10434,325410347,05.02.2021
10436,169808620,05.02.2021
10437,490173475,05.02.2021
10444,620556566,05.02.2021
10454,99949353,05.02.2021
10456,325842632,05.02.2021
10473,224887298,06.02.2021
10488,613117594,06.02.2021
10491,1118842,07.02.2021
10422,178276719,05.02.2021
10423,153245420,05.02.2021
10483,330647000,06.02.2021
10399,43852058,04.02.2021
10403,602211895,04.02.2021
10409,949605,05.02.2021
10372,193352073,04.02.2021
10376,426756439,04.02.2021
10411,645654,05.02.2021
10340,215381943,03.02.2021
10341,3057205,03.02.2021
10342,93132082,03.02.2021
10345,454626659,03.02.2021
10363,513239285,03.02.2021
10368,573835673,04.02.2021
10369,298646270,04.02.2021
10397,550534394,04.02.2021
10407,108727361,05.02.2021
10426,261436557,05.02.2021
10309,552753594,02.02.2021
10310,90264541,02.02.2021
10311,460933596,02.02.2021
10312,596183819,02.02.2021
10313,47811061,02.02.2021
10318,43945485,02.02.2021
10324,602211895,02.02.2021
10325,525837908,02.02.2021
10331,228314862,02.02.2021
10335,439931982,03.02.2021
11080,277176196,26.02.2021
10291,172228973,02.02.2021
10292,43945485,02.02.2021
10293,43945485,02.02.2021
10294,80413324,02.02.2021
10358,8042781,03.02.2021
10389,233908332,04.02.2021
10266,90349247,01.02.2021
10267,446422071,01.02.2021
10268,416897702,01.02.2021
10271,439931982,01.02.2021
10281,513239285,01.02.2021
10282,312396012,01.02.2021
10287,185009825,01.02.2021
10328,94601840,02.02.2021
10258,304191620,01.02.2021
10260,207008914,01.02.2021
10249,2975510,31.01.2021
10221,170940872,30.01.2021
10222,25975760,30.01.2021
10256,7942900,01.02.2021
10304,423259779,02.02.2021
10159,118311876,29.01.2021
10160,36113426,29.01.2021
10163,264748354,29.01.2021
10165,1693910,29.01.2021
10171,261436557,29.01.2021
10179,229780229,29.01.2021
10183,562889980,29.01.2021
10185,519424601,29.01.2021
10189,70115226,29.01.2021
10191,552240249,29.01.2021
10212,363709361,30.01.2021
10226,108727361,30.01.2021
10230,5348229,30.01.2021
10238,224887298,30.01.2021
10241,519708903,31.01.2021
10153,239221,29.01.2021
10181,174546672,29.01.2021
10213,363709361,30.01.2021
10240,210198514,31.01.2021
10208,7942900,30.01.2021
10214,363709361,30.01.2021
10142,39371033,28.01.2021
10215,363709361,30.01.2021
10119,1693910,27.01.2021
10120,118311876,27.01.2021
10121,323191223,27.01.2021
10122,576805152,27.01.2021
10123,118311876,27.01.2021
10124,355620455,27.01.2021
10125,1401140,27.01.2021
10130,171797458,27.01.2021
10132,3329691,27.01.2021
10135,949605,27.01.2021
10137,586687433,27.01.2021
10141,198946111,28.01.2021
10147,5533250,28.01.2021
10149,203552860,28.01.2021
10216,363709361,30.01.2021
10113,74029482,27.01.2021
10104,312990892,26.01.2021
10105,31270775,26.01.2021
10037,446422071,25.01.2021
10038,12797385,25.01.2021
10039,4125606,25.01.2021
10040,431046867,25.01.2021
10041,445093026,25.01.2021
10042,613117594,25.01.2021
10043,488689920,25.01.2021
10044,74029482,25.01.2021
10046,438994354,25.01.2021
10052,489756769,25.01.2021
10053,39371033,25.01.2021
10054,432614520,25.01.2021
10056,278504399,25.01.2021
10057,122802232,25.01.2021
10059,107714014,25.01.2021
10062,513239285,25.01.2021
10064,331064425,25.01.2021
10068,576805152,25.01.2021
10071,584804653,25.01.2021
10073,432510481,25.01.2021
10075,7826617,25.01.2021
10076,247064934,25.01.2021
10077,50946388,25.01.2021
10079,275590388,25.01.2021
10080,110561505,25.01.2021
10089,277806766,26.01.2021
10096,99259195,26.01.2021
10097,27185694,26.01.2021
10099,230290772,26.01.2021
10101,96161102,26.01.2021
10106,80412528,26.01.2021
10108,11930905,26.01.2021
10139,246808500,28.01.2021
10029,256790683,25.01.2021
10030,514220090,25.01.2021
10094,184302397,26.01.2021
10078,550316227,25.01.2021
10090,265821161,26.01.2021
10652,552806434,13.02.2021
10000,156841391,23.01.2021
10005,43852058,23.01.2021
10006,39371033,23.01.2021
10007,114685069,23.01.2021
10016,328939902,23.01.2021
10020,180107058,23.01.2021
10022,184656579,24.01.2021
10024,98858846,24.01.2021
10069,568361892,25.01.2021
10081,271422873,25.01.2021
10087,211392424,26.01.2021
10088,347374060,26.01.2021
9984,1693910,22.01.2021
9985,43945485,22.01.2021
9986,418520368,22.01.2021
9988,111593451,22.01.2021
9990,269485028,22.01.2021
9994,121930743,22.01.2021
10013,10532253,23.01.2021
10017,265716478,23.01.2021
10019,156841391,23.01.2021
10023,171886551,24.01.2021
9973,177792298,22.01.2021
9974,1424869,22.01.2021
9978,-173908225,22.01.2021
9981,484002030,22.01.2021
9961,112123934,21.01.2021
9962,257028864,21.01.2021
9942,584804653,21.01.2021
9914,178291433,20.01.2021
9915,580214682,20.01.2021
9917,539116452,20.01.2021
9921,583673784,20.01.2021
9925,225238578,20.01.2021
9930,613469205,20.01.2021
9932,519708903,20.01.2021
9939,353038763,20.01.2021
9945,625379416,21.01.2021
9951,244247962,21.01.2021
9964,203552860,21.01.2021
9966,328490295,21.01.2021
9976,70115226,22.01.2021
10008,265821161,23.01.2021
9898,1674846,20.01.2021
9899,394977883,20.01.2021
